place_id,value,time,type,id,device_id
2,1.0,2016-06-16T11:37:22,movement,70498,1210115
2,1.0,2016-06-16T11:37:23,movement,70499,1210115
2,0.0,2016-06-16T11:37:17,closed,70500,1210110
2,1.0,2016-06-16T11:37:19,closed,70501,1210110
2,1.0,2016-06-16T11:37:20,closed,70502,1210110
2,1.0,2016-06-16T11:37:56,movement,70505,1210115
2,1.0,2016-06-16T11:37:57,movement,70506,1210115
2,1.0,2016-06-16T11:38:04,movement,70507,1210115
2,1.0,2016-06-16T11:38:05,movement,70508,1210115
2,1.0,2016-06-16T11:38:10,movement,70509,1210115
2,1.0,2016-06-16T11:38:11,movement,70510,1210115
2,1.0,2016-06-16T11:38:18,movement,70511,1210115
